        x1        x2        x3        x4        x5        x6    Output    Target
    0.3557    0.5199    0.2292    0.2509    0.3075   0.02515       0.5         1
    0.1245    0.2968   0.09858    0.1446    0.4766   0.03637    0.5775         1
    0.4117    0.5139     0.323    0.3077    0.3861   0.01752    0.6388         1
    0.4162    0.5574    0.2713    0.2894    0.3418   0.05184    0.6854         1
    0.2273    0.2895    0.1281     0.247    0.4096   0.04417    0.7207         1
     0.136    0.3657   0.09956    0.1199    0.6479   0.03093    0.7481         1
    0.2632    0.4004    0.2073     0.224    0.5429   0.03968    0.7698         1
    0.1854    0.3092    0.1346    0.1966    0.5075   0.00089    0.7874         1
    0.1702    0.3588    0.2568    0.1563    0.5906   0.05667    0.8019         1
    0.1016    0.2066    0.2501    0.1694    0.1523   0.02729    0.8141         1
    0.2272      0.35    0.1551    0.2156    0.4147  0.007524    0.8245         1
   0.04904    0.4335   0.01342  0.001385    0.5374    0.0269    0.8335         1
    0.2196    0.4737     0.235    0.1442    0.5295   0.04443    0.8414         1
    0.2645    0.4825    0.1709    0.1827    0.4397   0.04214    0.8483         1
    0.3004    0.5491    0.2953    0.1827    0.5025   0.03916    0.8545         1
    0.1753     0.341    0.1978    0.1704    0.5811   0.03835      0.86         1
    0.3635    0.4808    0.3629    0.2786    0.4541   0.02429     0.865         1
   0.04946    0.1732    0.1661    0.1366    0.6337   0.03417    0.8696         1
     0.121    0.3572    0.1521      0.11    0.5708   0.02907    0.8737         1
    0.1503     0.336    0.1443    0.1491    0.5001   0.02284    0.8775         1
    0.1714    0.3703    0.2133    0.1516    0.6923   0.04076     0.881         1
    0.2775    0.4933    0.2524    0.1896    0.5929    0.0314    0.8842         1
    0.3561    0.5531     0.358    0.2341    0.3908   0.06247    0.8872         1
     0.187    0.3505    0.1459    0.1768    0.5151   0.01413      0.89         1
    0.2698    0.5931    0.1909    0.1305    0.5524    0.0294    0.8926         1
    0.1681     0.412    0.2953    0.1268    0.4214   0.04667    0.8951         1
    0.1775    0.5088    0.1144   0.08563    0.4408   0.03191    0.8973         1
    0.3928    0.5617    0.3157    0.2648    0.4667   0.02107    0.8995         1
    0.2379    0.3922    0.2553     0.204    0.4529   0.05104    0.9015         1
    0.1952     0.315    0.1623    0.2031    0.3086   0.04061    0.9035         1
    0.1812    0.4287    0.1233    0.1307    0.5151   0.03871    0.9053         1
    0.1207     0.349    0.2327    0.1139    0.5897   0.03203     0.907         1
    0.3226    0.6886    0.2914    0.1317    0.5296   0.02917    0.9087         1
   0.05147    0.2569   0.09204   0.09523    0.4705   0.03597    0.9102         1
   0.05732    0.2419    0.1969    0.1086    0.6687   0.04067    0.9117         1
   0.09216    0.4644   0.05996   0.02677    0.7254   0.02513    0.9131         1
    0.2864    0.6323    0.3015    0.1261    0.5724   0.03229    0.9145         1
    0.2534    0.4567    0.1957    0.1855    0.4998   0.02969    0.9158         1
   0.09012    0.3261   0.01423   0.09646    0.3964   0.01769     0.917         1
    0.1957     0.267    0.1346    0.2284    0.4882    0.0305    0.9182         1
    0.2672    0.4606    0.1681    0.1967    0.5548   0.03815    0.9194         1
    0.3871    0.5873    0.2998    0.2461    0.5499   0.02388    0.9205         1
    0.2882    0.4082     0.432     0.244    0.4725   0.02033    0.9215         1
    0.2388    0.5282    0.2953    0.1345    0.5091   0.01986    0.9225         1
     0.214    0.5141    0.1985    0.1179    0.5087   0.04083    0.9235         1
    0.1466    0.4132    0.1495    0.1056    0.4644   0.01527    0.9245         1
     0.139    0.4382     0.179   0.08525    0.5481   0.02216    0.9254         1
    0.1506    0.4368   0.05397   0.09718    0.5192   0.03054    0.9263         1
     0.281    0.4822     0.179    0.1988    0.4925   0.03402    0.9271         1
    0.4657    0.8594    0.1226    0.1805    0.4072   0.03738     0.928         1
    0.2321    0.6486    0.1978   0.06554     0.626    0.0391    0.9288         1
    0.0386    0.3299     0.179   0.04503    0.4581   0.05242    0.9295         1
    0.1449    0.4265    0.1742   0.09701    0.4979  0.003466    0.9303         1
    0.2075    0.3542     0.203    0.1945    0.3029   0.04034     0.931         1
    0.1659    0.2505    0.1259    0.2084    0.4591   0.03913    0.9317         1
    0.1997    0.3913    0.2148    0.1678    0.4965   0.02961    0.9324         1
    0.1645    0.4683    0.1879   0.09414    0.5889   0.01895    0.9331         1
    0.2118    0.3838     0.193    0.1833    0.5804   0.04424    0.9337         1
    0.4652    0.6896    0.5797     0.268    0.7902    0.1564    0.9344         1
    0.6127    0.7012    0.6187    0.4036    0.6439      0.24     0.935         1
    0.1773    0.2856    0.3401    0.2011     0.695   0.09349    0.9356         1
    0.4971     0.499    0.4513    0.3974    0.4811   0.08843    0.9362         1
    0.4822    0.5089    0.6171     0.378    0.5791   0.05002    0.9367         1
    0.5573    0.8545    0.4296     0.271    0.4832   0.08763    0.9373         1
    0.5048    0.5133    0.4117    0.3974     0.521   0.08948    0.9378         1
    0.4774    0.4625    0.4488    0.3974    0.2777    0.1876    0.9383         1
     0.443    0.4555    0.3311     0.368    0.4746   0.02809    0.9389         1
     0.313    0.1124    0.3356     0.421    0.3437   0.09106    0.9394         1
    0.4476    0.4276    0.3401    0.3869    0.5281    0.1005    0.9398         1
    0.5859    0.7052    0.3024    0.3758    0.6989    0.2625    0.9403         1
    0.5673    0.7069    0.4194    0.3571    0.5977    0.1988    0.9408         1
    0.2832     0.476    0.2685     0.204    0.5653    0.1062    0.9413         1
    0.4444    0.5293    0.6891    0.3311    0.7276     0.158    0.9417         1
    0.4251    0.8284    0.4843    0.1576    0.8436    0.3641    0.9421         1
    0.5845    0.7609    0.4942    0.3456    0.7456    0.2838    0.9426         1
    0.3147     0.254    0.3521    0.3493    0.3056    0.1458     0.943         1
     0.398    0.4286     0.413    0.3387    0.4414    0.1029    0.9434         1
    0.2083     0.333    0.2237    0.2063    0.5101   0.07621    0.9438         1
    0.4915    0.6613    0.4965    0.3079    0.4524    0.1904    0.9442         1
    0.4616    0.4944    0.3882    0.3657     0.539    0.1993    0.9446         1
    0.6025    0.6367    0.3004    0.4272    0.5558    0.1463     0.945         1
      0.53    0.5599    0.5717    0.3974    0.8792    0.1775    0.9453         1
    0.4839    0.8743    0.3866    0.1903    0.5827    0.1424    0.9457         1
    0.1861     0.294    0.2774    0.2052         1   0.07303     0.946         1
    0.3244    0.4364    0.4046    0.2641    0.5295   0.07724    0.9464         1
     0.181    0.2996    0.2741    0.1974    0.6452    0.1127    0.9467         1
    0.2938    0.4172    0.2506    0.2447    0.6153   0.08165    0.9471         1
    0.4344    0.5439    0.2658    0.3139    0.5354   0.08925    0.9474         1
    0.5353    0.6306    0.3958    0.3659    0.4806   0.09699    0.9477         1
